age,gender,interest_history,interest_mathematics,interest_physics,interest_computers,interest_economy,interest_medical,interest_law,interest_geography,interest_psychology,phobia_Flying,phobia_storm,phobia_darkness,phobia_heights,phobia_ageing,phobia_public_speaking
20.0,male,Disagree,Neutral,Agree,Strongly agree,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Not afraid,afraid
18.0,male,Strongly agree,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Disagree,Agree,Agree,afraid,Slightly afraid,Slightly afraid,afraid,afraid,Slightly afraid
25.0,female,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Very afraid,Not afraid,afraid,Very afraid,afraid,afraid
23.0,male,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
24.0,male,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
20.0,male,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,,Disagree,afraid,afraid,Not afraid,afraid,Not afraid,Very afraid
19.0,female,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Agree,Not afraid,Slightly afraid,Slightly afraid,afraid,Very afraid,Very afraid
18.0,male,Disagree,Neutral,Agree,Strongly agree,Strongly disagree,Agree,Neutral,Neutral,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,afraid
25.0,female,Agree,Neutral,Neutral,Agree,Disagree,Strongly agree,Disagree,Neutral,Agree,Very afraid,Very afraid,Very afraid,Very afraid,afraid,Slightly afraid
22.0,male,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Slightly afraid,Very much afraid,Very much afraid,afraid,Slightly afraid,Very afraid
26.0,male,Neutral,Disagree,Disagree,Agree,Strongly agree,Disagree,Agree,Neutral,Neutral,Not afraid,Not afraid,Slightly afraid,afraid,Slightly afraid,Very afraid
19.0,female,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid
16.0,female,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Agree,Disagree,Not afraid,Slightly afraid,afraid,Very afraid,Slightly afraid,Slightly afraid
18.0,male,Neutral,Neutral,Strongly disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Slightly afraid,Not afraid,afraid,Slightly afraid,Slightly afraid,Very afraid
20.0,female,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very afraid,Very afraid
17.0,female,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Very afraid
20.0,female,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Agree,Neutral,Very afraid,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid
19.0,female,Neutral,Disagree,Disagree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Agree,afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Slightly afraid
25.0,male,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Very afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
19.0,male,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,,Strongly disagree,Disagree,afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid
18.0,female,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Very afraid,afraid,Very afraid,afraid,afraid,Very much afraid
17.0,female,Strongly agree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly agree,Not afraid,afraid,afraid,Slightly afraid,Not afraid,Not afraid
18.0,male,Strongly agree,Agree,Strongly disagree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Slightly afraid,Not afraid,Slightly afraid,afraid,Slightly afraid,afraid
20.0,female,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Not afraid,afraid,Not afraid,Not afraid,afraid,Very afraid
17.0,female,Disagree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Slightly afraid,Very afraid,Very much afraid,Very afraid,afraid,afraid
21.0,male,Strongly agree,Disagree,Neutral,Strongly agree,Neutral,Neutral,Disagree,Agree,Neutral,afraid,Not afraid,,Slightly afraid,afraid,afraid
19.0,male,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Neutral,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
19.0,male,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Not afraid
19.0,male,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Disagree,,Not afraid,Not afraid,Slightly afraid,Very much afraid,Not afraid
16.0,male,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Neutral,Agree,Slightly afraid,Slightly afraid,afraid,Slightly afraid,Slightly afraid,Not afraid
18.0,female,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Not afraid,Not afraid,afraid,Not afraid,Very much afraid,Not afraid
19.0,male,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Very afraid,Very afraid,Very much afraid,afraid,Very much afraid,afraid
20.0,female,Neutral,Neutral,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Slightly afraid,Slightly afraid,Not afraid,Very much afraid,Very afraid,Very afraid
19.0,female,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Neutral,Strongly agree,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid
21.0,male,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,afraid,afraid,afraid,Very afraid,Very afraid,Very afraid
24.0,male,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,afraid,afraid,afraid,Very afraid,Not afraid,afraid
23.0,male,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,afraid
30.0,female,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Very much afraid
27.0,male,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Very much afraid,afraid,Very afraid,Very much afraid,Very afraid,Very afraid
19.0,male,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,afraid,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid
18.0,female,Strongly agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Not afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,afraid
18.0,male,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Neutral,Disagree,Slightly afraid,Not afraid,afraid,Slightly afraid,Slightly afraid,Very afraid
17.0,male,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,afraid,Slightly afraid,Not afraid,Not afraid,Very afraid,Not afraid
30.0,female,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Very afraid,Not afraid,Not afraid,afraid,Very afraid,afraid
19.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Not afraid,Slightly afraid,afraid,Very much afraid,Very afraid,afraid
27.0,female,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid,Not afraid
21.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Very much afraid,afraid,Very afraid
17.0,female,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Strongly agree,Agree,Very afraid,Very afraid,afraid,afraid,Very much afraid,Very afraid
20.0,male,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Slightly afraid,Not afraid,Slightly afraid,afraid,Slightly afraid,afraid
20.0,male,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,afraid,afraid
20.0,male,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid
18.0,male,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Slightly afraid
20.0,male,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Not afraid,afraid,Very afraid,Very much afraid,Very much afraid,Not afraid
20.0,male,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Very afraid,Not afraid,Slightly afraid,Slightly afraid,Very afraid,afraid
17.0,female,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Very much afraid,afraid,Slightly afraid,Very afraid,afraid,Very afraid
19.0,male,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Slightly afraid,Slightly afraid,Slightly afraid,afraid,afraid,Very afraid
20.0,female,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Strongly disagree,Disagree,Agree,afraid,Very afraid,Very much afraid,Very afraid,Very afraid,Very afraid
20.0,male,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Not afraid
21.0,male,Strongly agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Not afraid,Slightly afraid,afraid,Very afraid,Very much afraid,Not afraid
23.0,male,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Not afraid,Not afraid
24.0,male,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Slightly afraid,Not afraid,Not afraid,Very much afraid,Not afraid,Very much afraid
17.0,female,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly agree,Neutral,Agree,Neutral,Very much afraid,Slightly afraid,Slightly afraid,Not afraid,Not afraid,Not afraid
18.0,female,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree,afraid,Not afraid,Not afraid,afraid,Not afraid,afraid
17.0,male,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Very afraid,Slightly afraid,afraid,Very much afraid,afraid,Very afraid
19.0,female,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Not afraid,Very afraid
21.0,male,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Neutral,Agree,Slightly afraid,Slightly afraid,Not afraid,Not afraid,Very afraid,Slightly afraid
29.0,female,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Slightly afraid,Slightly afraid,Very much afraid,Not afraid,Very much afraid,Slightly afraid
21.0,female,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Slightly afraid,Not afraid,Very much afraid,Slightly afraid,Very afraid,afraid
20.0,female,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Neutral,Not afraid,Slightly afraid,afraid,afraid,Not afraid,Slightly afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Slightly afraid,afraid,Slightly afraid,afraid,Slightly afraid,Slightly afraid
19.0,male,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Very afraid,afraid,Slightly afraid,Very afraid,afraid,Very afraid
20.0,female,Neutral,Disagree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Not afraid,Not afraid,Slightly afraid,Very much afraid,Not afraid,Not afraid
21.0,female,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,Agree,Not afraid,Not afraid,Slightly afraid,Not afraid,Very afraid,Very afraid
17.0,female,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral,afraid,afraid,afraid,Not afraid,Slightly afraid,Slightly afraid
20.0,female,Neutral,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Neutral,Slightly afraid,Not afraid,Very afraid,Not afraid,Not afraid,Not afraid
19.0,male,Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Not afraid,Not afraid,afraid,Slightly afraid,Slightly afraid,Not afraid
21.0,male,Disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Very much afraid,Not afraid,Very afraid,Very afraid,afraid,Very afraid
19.0,male,Agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Not afraid,Slightly afraid,Not afraid,Not afraid,Very afraid,Not afraid
19.0,male,Disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Not afraid,Not afraid,Not afraid,afraid,Very afraid,afraid
20.0,male,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Very afraid,Not afraid,Slightly afraid,afraid,Slightly afraid,Slightly afraid
21.0,female,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Neutral,Strongly disagree,Slightly afraid,Not afraid,afraid,Slightly afraid,Slightly afraid,afraid
23.0,female,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Disagree,Neutral,afraid,afraid,afraid,Not afraid,Very much afraid,Slightly afraid
24.0,female,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Slightly afraid,Slightly afraid,afraid,Slightly afraid,Very afraid,afraid
19.0,male,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Very much afraid,afraid,Not afraid,afraid,afraid,Slightly afraid
24.0,female,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Not afraid,Very much afraid,Very much afraid,afraid,Not afraid,afraid
20.0,female,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Very afraid,afraid
30.0,male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
20.0,female,Strongly agree,Disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Neutral,Slightly afraid,Very much afraid,afraid,afraid,Very much afraid,Very afraid
23.0,female,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Very much afraid,Slightly afraid,Slightly afraid,Very afraid,Very afraid,afraid
19.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Slightly afraid,Not afraid,Slightly afraid,Very afraid,Slightly afraid,Very afraid
19.0,male,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
22.0,female,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Not afraid,afraid,Very afraid,Not afraid,Very much afraid,Slightly afraid
17.0,female,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Neutral,Agree,Neutral,afraid,Very afraid,Not afraid,Slightly afraid,afraid,Very afraid
20.0,male,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid
19.0,male,Agree,Neutral,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Not afraid
30.0,female,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Not afraid
27.0,male,Disagree,Neutral,Neutral,Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,afraid,Not afraid,Slightly afraid,Very afraid,Very afraid,Not afraid
19.0,male,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Agree,Very afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,Very much afraid
17.0,female,Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid
20.0,male,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Not afraid,Not afraid,Slightly afraid,Not afraid,Very much afraid,afraid
20.0,male,Strongly agree,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,afraid
20.0,male,Neutral,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Not afraid,Not afraid,Not afraid,Very afraid,Very much afraid,Slightly afraid
20.0,male,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid,Not afraid
18.0,female,Agree,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Very afraid
21.0,male,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Agree,Disagree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Not afraid
21.0,male,Neutral,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Slightly afraid,Not afraid,Slightly afraid,Not afraid,Not afraid,Slightly afraid
20.0,male,Agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Slightly afraid,Slightly afraid,Slightly afraid,afraid,afraid,Very afraid
17.0,female,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,afraid,Slightly afraid,afraid,Slightly afraid,Slightly afraid,Slightly afraid
23.0,male,Strongly agree,Disagree,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Agree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,Very much afraid
25.0,female,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Strongly agree,Slightly afraid,Not afraid,Not afraid,Very much afraid,afraid,Very much afraid
18.0,male,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Very afraid,Slightly afraid,Slightly afraid,afraid,Very afraid,afraid
18.0,female,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Not afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid,afraid
25.0,female,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Neutral,Disagree,Very much afraid,Slightly afraid,afraid,afraid,afraid,Slightly afraid
21.0,male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,afraid,Not afraid,Not afraid,Not afraid,Not afraid,afraid
20.0,male,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Slightly afraid,afraid
21.0,male,Neutral,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Not afraid,Not afraid,afraid,Very much afraid,afraid,Very afraid
18.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid,afraid
20.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Not afraid,Not afraid,afraid,Very afraid,Slightly afraid,Very much afraid
19.0,male,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
22.0,male,Agree,Neutral,Strongly disagree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid
26.0,male,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid,afraid
23.0,male,Disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Neutral,Disagree,afraid,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid,afraid
18.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid
18.0,female,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Not afraid,Slightly afraid,afraid,Very afraid,Slightly afraid,afraid
16.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Neutral,Slightly afraid,Not afraid,Not afraid,Very much afraid,Not afraid,Very much afraid
19.0,female,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Not afraid,Not afraid,Slightly afraid,afraid,Very much afraid,Very afraid
19.0,female,Neutral,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Not afraid,Very afraid,Very afraid,Not afraid,Very much afraid,Very much afraid
23.0,female,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Not afraid,Not afraid,Slightly afraid,Very afraid,Very afraid,Slightly afraid
21.0,male,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Slightly afraid
19.0,male,Disagree,Neutral,Strongly disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Slightly afraid,afraid,Very afraid,Very afraid,afraid,afraid
20.0,female,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Very afraid,afraid
22.0,female,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Disagree,Strongly agree,Neutral,Very afraid,Not afraid,Slightly afraid,Not afraid,Not afraid,Very afraid
20.0,male,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Very afraid
21.0,male,Agree,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid,afraid
19.0,male,Neutral,Agree,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Slightly afraid
17.0,female,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Slightly afraid,afraid,Very afraid,afraid,afraid,Slightly afraid
19.0,female,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Very afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very much afraid,Very afraid
16.0,male,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Very afraid
22.0,male,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Slightly afraid
23.0,male,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Slightly afraid,afraid,Slightly afraid,Very afraid,Not afraid,afraid
28.0,female,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Slightly afraid,afraid,Slightly afraid,afraid,afraid,afraid
20.0,male,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid,Not afraid
21.0,male,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly agree,Disagree,Neutral,afraid,Slightly afraid,afraid,Very afraid,Very afraid,Slightly afraid
22.0,female,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Not afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid,Slightly afraid
,male,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Slightly afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid
19.0,male,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Not afraid,afraid,Not afraid,Not afraid,Not afraid,Not afraid
